MRF Item #,Default Item #,New,Main Category,Subcategory 1,Options,Item Name,Price Category,Min Qty,Min -47,48-95,96-239,240-479,480-959,300-599,600-2399,Mfg Code,Setup Charge Applies,Web Copy,Sales Flyer Copy,Ingredient Box (List of Ingredients),Kosher,Made in America,Units/Case,Ship Weight Each,Weight per Case,Dimensional Weight Applies,Description,Product Dimensions L,Product Dimensions W,Product Dimensions H,Additional Description,Addt'l Dimensions L,Addt'l Dimensions W,Addt'l Dimensions H,Imprint Details,Imprint Dimensions L,Imprint Dimensions W,Packaging,Individual Mailing Carton,Extra Bullets,Production Time,Default Inventory Quantity,Virtual Link,Hero Image Filename,Full-Size Filename,Thumbnail Filename,,,,,,,,,,,,,,,,,,,,,,,,,
CRH6901R,CRH6901B,,1,,91,Epicurean Feast,7,6,99.95,98.95,,,,,,2C,X,"Reward those who deserve it most with this wide array of gourmet favorites. Our hammered metal tub (13.5"" x 7.5"" x 6"") is overflowing with delicious treats, and there's something for everyone to share.  To add special elegance, we wrap the entire basket with a festive, decorative cello and tie it with your choice of ribbon (foil-stamped in silver with your logo). It's a gift they'll enjoy at once and remember throughout the year.","Reward those who deserve it most with this wide array of gourmet favorites. Our hammered metal tub (13.5"" x 7.5"" x 6"") is overflowing with delicious treats, and there's something for everyone to share.  To add special elegance, we wrap the entire basket with a festive, decorative cello and tie it with red satin ribbon (foil-stamped in silver with your logo). It's a gift they'll enjoy at once and remember throughout the year.","3 Chocolate Dipped Pretzels, 2.4 oz.
2 Ghirardelli® Dark Chocolate Squares, .75 oz.
Private Stock Mild Pepper Cheese, 7 oz.
Pirouline Chocolate Wafer Cookies, 3.25 oz.
Walkers Scottish Shortbread, 1.4 oz.
Chocolate Blueberries & Almonds, 3.5 oz.
Seasoned Pretzels, 1/4 lb.
Pepper Stuffed Olives, 3 oz.
Beef Summer Sausage, 5 oz.
Lady Walton Amaretto Cookie, 1 oz.
Water Crackers, 2 oz.
Chocolate Sea Salt Caramel Corn, 5 oz.",,,2,12,27,X,Metal Tub,13.5,7.5,6,,,,,Price includes imprint foil-stamped in silver on red ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH6901R_HERO.jpg,CRH6901R_WEB.jpg,CRH6901R_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
CRH6901SB,CRH6901B,,1,,92,Epicurean Feast,7,6,99.95,98.95,,,,,,2C,X,"Reward those who deserve it most with this wide array of gourmet favorites. Our hammered metal tub (13.5"" x 7.5"" x 6"") is overflowing with delicious treats, and there's something for everyone to share.  To add special elegance, we wrap the entire basket with a festive, decorative cello and tie it with your choice of ribbon (foil-stamped in silver with your logo). It's a gift they'll enjoy at once and remember throughout the year.","Reward those who deserve it most with this wide array of gourmet favorites. Our hammered metal tub (13.5"" x 7.5"" x 6"") is overflowing with delicious treats, and there's something for everyone to share.  To add special elegance, we wrap the entire basket with a festive, decorative cello and tie it with sheer burgundy ribbon (foil-stamped in silver with your logo). It's a gift they'll enjoy at once and remember throughout the year.","3 Chocolate Dipped Pretzels, 2.4 oz.
2 Ghirardelli® Dark Chocolate Squares, .75 oz.
Private Stock Mild Pepper Cheese, 7 oz.
Pirouline Chocolate Wafer Cookies, 3.25 oz.
Walkers Scottish Shortbread, 1.4 oz.
Chocolate Blueberries & Almonds, 3.5 oz.
Seasoned Pretzels, 1/4 lb.
Pepper Stuffed Olives, 3 oz.
Beef Summer Sausage, 5 oz.
Lady Walton Amaretto Cookie, 1 oz.
Water Crackers, 2 oz.
Chocolate Sea Salt Caramel Corn, 5 oz.",,,2,12,27,X,Metal Tub,13.5,7.5,6,,,,,Price includes imprint foil-stamped in silver on sheer burgundy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH6901SB_HERO.jpg,CRH6901SB_WEB.jpg,CRH6901SB_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
CRH7001B,CRH7001SB,,1,,90,Imperial Feast Basket,7,6,99.95,98.95,,,,,,2C,X,"This basket is for the connoisseur who recognizes and is thrilled by an epicurean delight. Show your valued customers and loyal employees how much you appreciate them by sending this gourmet assortment. The handsome brown tote is great for storing kindling wood, catalogs, kitchen gadgets or children's toys. You can't go wrong with our Imperial Feast Basket! For the final touch, we tie it with your choice of blue, red, or sheer burgundy ribbon foil-stamped with your logo.","This basket is for the connoisseur who recognizes and is thrilled by an epicurean delight. Show your valued customers and loyal employees how much you appreciate them by sending this gourmet assortment. The handsome brown tote is great for storing kindling wood, catalogs, kitchen gadgets or children's toys. You can't go wrong with our Imperial Feast Basket! For the final touch, we tie it with blue ribbon foil-stamped with your logo.","English Butter Toffee, 5 oz. (12 pieces)
Private Stock Mild Pepper Cheese, 7 oz.
Beef Summer Sausage, 5 oz.
Water Crackers, 2 oz.
Pepper Stuffed Olives, 3 oz.
Chocolate Blueberries & Almonds, 3.5 oz.
Chocolate Chip Cookies, 2.5 oz.
Walkers Scottish Shortbread, 1.4 oz.
Organic Fair Trade Coffee, 2.25 oz.
Chocolate Covered Oreos®, 2.4 oz. (3 pieces)
Ghirardelli© Chocolate Squares, .75 oz. (2 pieces)
Seasoned Pretzels, 1/4 lb.",,,4,8,34,X,Brown Tote,12,7.25,4.75,,,,,Price includes imprint foil-stamped in gold on blue ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH7001B_HERO.jpg,CRH7001B_WEB.jpg,CRH7001B_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
CRH7001R,CRH7001SB,,1,,91,Imperial Feast Basket,7,6,99.95,98.95,,,,,,2C,X,"This basket is for the connoisseur who recognizes and is thrilled by an epicurean delight. Show your valued customers and loyal employees how much you appreciate them by sending this gourmet assortment. The handsome brown tote is great for storing kindling wood, catalogs, kitchen gadgets or children's toys. You can't go wrong with our Imperial Feast Basket! For the final touch, we tie it with your choice of blue, red, or sheer burgundy ribbon foil-stamped with your logo.","This basket is for the connoisseur who recognizes and is thrilled by an epicurean delight. Show your valued customers and loyal employees how much you appreciate them by sending this gourmet assortment. The handsome brown tote is great for storing kindling wood, catalogs, kitchen gadgets or children's toys. You can't go wrong with our Imperial Feast Basket! For the final touch, we tie it with red ribbon foil-stamped with your logo.","English Butter Toffee, 5 oz. (12 pieces)
Private Stock Mild Pepper Cheese, 7 oz.
Beef Summer Sausage, 5 oz.
Water Crackers, 2 oz.
Pepper Stuffed Olives, 3 oz.
Chocolate Blueberries & Almonds, 3.5 oz.
Chocolate Chip Cookies, 2.5 oz.
Walkers Scottish Shortbread, 1.4 oz.
Organic Fair Trade Coffee, 2.25 oz.
Chocolate Covered Oreos®, 2.4 oz. (3 pieces)
Ghirardelli© Chocolate Squares, .75 oz. (2 pieces)
Seasoned Pretzels, 1/4 lb.",,,4,8,34,X,Brown Tote,12,7.25,4.75,,,,,Price includes imprint foil-stamped in gold on red of ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH7001R_HERO.jpg,CRH7001R_WEB.jpg,CRH7001R_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
CRH7001SB,CRH7001SB,,1,,92,Imperial Feast Basket,7,6,99.95,98.95,,,,,,2C,X,"This basket is for the connoisseur who recognizes and is thrilled by an epicurean delight. Show your valued customers and loyal employees how much you appreciate them by sending this gourmet assortment. The handsome brown tote is great for storing kindling wood, catalogs, kitchen gadgets or children's toys. You can't go wrong with our Imperial Feast Basket! For the final touch, we tie it with your choice of blue, red, or sheer burgundy ribbon foil-stamped with your logo.","This basket is for the connoisseur who recognizes and is thrilled by an epicurean delight. Show your valued customers and loyal employees how much you appreciate them by sending this gourmet assortment. The handsome brown tote is great for storing kindling wood, catalogs, kitchen gadgets or children's toys. You can't go wrong with our Imperial Feast Basket! For the final touch, we tie it with sheer burgundy ribbon foil-stamped with your logo.","English Butter Toffee, 5 oz. (12 pieces)
Private Stock Mild Pepper Cheese, 7 oz.
Beef Summer Sausage, 5 oz.
Water Crackers, 2 oz.
Pepper Stuffed Olives, 3 oz.
Chocolate Blueberries & Almonds, 3.5 oz.
Chocolate Chip Cookies, 2.5 oz.
Walkers Scottish Shortbread, 1.4 oz.
Organic Fair Trade Coffee, 2.25 oz.
Chocolate Covered Oreos®, 2.4 oz. (3 pieces)
Ghirardelli© Chocolate Squares, .75 oz. (2 pieces)
Seasoned Pretzels, 1/4 lb.",,,4,8,34,X,Brown Tote,12,7.25,4.75,,,,,Price includes imprint foil-stamped in gold on sheer burgundy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH7001SB_HERO.jpg,CRH7001SB_WEB.jpg,CRH7001SB_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
CRH7101B,CRH7101SB,X,1,,90,Sweet & Savory Gift Basket,7,6,99.95,98.95,,,,,,2C,X,"Send a gift brimming with sweet and savory goodies and give the whole crowd something to cheer about. The handcrafted wooden crate is packed with Godiva® and Ghirardelli® Chocolates, Chocolate Dipped Oreos®, Cheese, Sausage, Chocolate Wafer Cookies, Walkers Scottish Shortbread, Pepper Stuffed Olives, and more! For the final touch, choose burgundy, blue or red ribbon foil-stamped with your logo.","Send a gift brimming with sweet and savory goodies and give the whole crowd something to cheer about. The handcrafted wooden crate is packed with Godiva® and Ghirardelli® Chocolates, Chocolate Dipped Oreos®, Cheese, Sausage, Chocolate Wafer Cookies, Walkers Scottish Shortbread, Pepper Stuffed Olives, and more! For the final touch, we add blue ribbon foil-stamped with your logo.","Beef Summer Sausage, 5 oz.
Private Stock Provolone Cheese, 7 oz.
Chocolate Wafer Cookies, 3.25 oz.
Walkers Scottish Shortbread, 1.4 oz.
Lady Walton Amaretto Cookie, 1 oz.
1 Ghirardelli® Chocolate Square, .325 oz.
2 Godiva® Pieces of Chocolate, .375 oz. each
2 Chocolate Dipped Oreos®, .8 oz. each
1 Chocolate Dipped Pretzel, .8 oz.
Chocolate Sea Salt Caramel Corn, 5 oz.
Pepper Stuffed Olives, 3 oz.
Water Crackers, 2 oz.
Seasoned Pretzels, 1/4 lb.",,,4,8,34,X,Wooden Basket,12.5,6.25,4.5,,,,,Price includes imprint foil-stamped in gold on blue ribbon.,3,0.75,Individual mailing cartons are included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH7101B_HERO.jpg,CRH7101B_WEB.jpg,CRH7101B_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
CRH7101R,CRH7101SB,X,1,,91,Sweet & Savory Gift Basket,7,6,99.95,98.95,,,,,,2C,X,"Send a gift brimming with sweet and savory goodies and give the whole crowd something to cheer about. The handcrafted wooden crate is packed with Godiva® and Ghirardelli® Chocolates, Chocolate Dipped Oreos®, Cheese, Sausage, Chocolate Wafer Cookies, Walkers Scottish Shortbread, Pepper Stuffed Olives, and more! For the final touch, choose burgundy, blue or red ribbon foil-stamped with your logo.","Send a gift brimming with sweet and savory goodies and give the whole crowd something to cheer about. The handcrafted wooden crate is packed with Godiva® and Ghirardelli® Chocolates, Chocolate Dipped Oreos®, Cheese, Sausage, Chocolate Wafer Cookies, Walkers Scottish Shortbread, Pepper Stuffed Olives, and more! For the final touch, we add red ribbon foil-stamped with your logo.","Beef Summer Sausage, 5 oz.
Private Stock Provolone Cheese, 7 oz.
Chocolate Wafer Cookies, 3.25 oz.
Walkers Scottish Shortbread, 1.4 oz.
Lady Walton Amaretto Cookie, 1 oz.
1 Ghirardelli® Chocolate Square, .325 oz.
2 Godiva® Pieces of Chocolate, .375 oz. each
2 Chocolate Dipped Oreos®, .8 oz. each
1 Chocolate Dipped Pretzel, .8 oz.
Chocolate Sea Salt Caramel Corn, 5 oz.
Pepper Stuffed Olives, 3 oz.
Water Crackers, 2 oz.
Seasoned Pretzels, 1/4 lb.",,,4,8,34,X,Wooden Basket,12.5,6.25,4.5,,,,,Price includes imprint foil-stamped in gold on red ribbon.,3,0.75,Individual mailing cartons are included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH7101R_HERO.jpg,CRH7101R_WEB.jpg,CRH7101R_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
CRH7101SB,CRH7101SB,X,1,,92,Sweet & Savory Gift Basket,7,6,99.95,98.95,,,,,,2C,X,"Send a gift brimming with sweet and savory goodies and give the whole crowd something to cheer about. The handcrafted wooden crate is packed with Godiva® and Ghirardelli® Chocolates, Chocolate Dipped Oreos®, Cheese, Sausage, Chocolate Wafer Cookies, Walkers Scottish Shortbread, Pepper Stuffed Olives, and more! For the final touch, choose burgundy, blue or red ribbon foil-stamped with your logo.","Send a gift brimming with sweet and savory goodies and give the whole crowd something to cheer about. The handcrafted wooden crate is packed with Godiva® and Ghirardelli® Chocolates, Chocolate Dipped Oreos®, Cheese, Sausage, Chocolate Wafer Cookies, Walkers Scottish Shortbread, Pepper Stuffed Olives, and more! For the final touch, we add sheer burgundy ribbon foil-stamped with your logo.","Beef Summer Sausage, 5 oz.
Private Stock Provolone Cheese, 7 oz.
Chocolate Wafer Cookies, 3.25 oz.
Walkers Scottish Shortbread, 1.4 oz.
Lady Walton Amaretto Cookie, 1 oz.
1 Ghirardelli® Chocolate Square, .325 oz.
2 Godiva® Pieces of Chocolate, .375 oz. each
2 Chocolate Dipped Oreos®, .8 oz. each
1 Chocolate Dipped Pretzel, .8 oz.
Chocolate Sea Salt Caramel Corn, 5 oz.
Pepper Stuffed Olives, 3 oz.
Water Crackers, 2 oz.
Seasoned Pretzels, 1/4 lb.",,,4,8,34,X,Wooden Basket,12.5,6.25,4.5,,,,,Price includes imprint foil-stamped in gold on sheer burgundy ribbon.,3,0.75,Individual mailing cartons are included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,CRH7101SB_HERO.jpg,CRH7101SB_WEB.jpg,CRH7101SB_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ES1028,ES1028,X,9,10,31,The MR Gourmet Collection,4,18,34.95,34.65,33.95,33.95,,,,3C,X,"The MR Gourmet Collection features our most exceptional confections in distinctive, elegant packaging.  Your logo is attractively foil-stamped on the robin's egg blue gift box, which is then tied with a white satin ribbon.  If you are looking for gourmet chocolate with the most elegant presentations, you need not look further.","I’m known around our office for not liking peanut butter (I can’t stand the stuff), but when I tasted these Chocolate Peanut Butter Meltaways I exclaimed, “These are great! We need to add them to our line!” You get 8 of the smoothest, most delicious Peanut Butter Meltaways, each dusted with a sprinkling of sea salt, one-quarter pound. Add to that, Peppermint Bark, creamy white chocolate on a dark chocolate base covered with real candy cane bits, five-ounces. It doesn’t get much better than this!  These premium chocolates come packaged in a robin's egg blue gift box attractively foil-stamped in white with your logo and tied with a white satin ribbon.",,,,12,2,15,,Gift Box,7.375,3.875,2.25,,,,,Price includes imprint foil-stamped in white on gift box.,2.75,1,Individual mailing cartons are included at no charge.,,"Maximum size for enclosure cards: 6"" x 3.5""",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ES1028_HERO.jpg,ES1028_WEB.jpg,ES1028_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ES124,ES1028,X,9,10,2,The MR Gourmet Collection,3,18,28.95,28.65,27.95,27.95,,,,3C,X,"The MR Gourmet Collection features our most exceptional confections in distinctive, elegant packaging.  Your logo is attractively foil-stamped on the robin's egg blue gift box, which is then tied with a white satin ribbon.  If you are looking for gourmet chocolate with the most elegant presentations, you need not look further.","Your customers and employees will be thrilled with this attractively packaged gourmet gift! We begin with the highest quality California Almonds, then carefully roast them to enhance their natural flavor and surround them with an extra-thick coating of rich, luxurious fine chocolate. The result: they’re the best you’ve ever tasted! Over 75 Chocolate Covered Almonds are packaged in this three-quarter pound robin’s egg blue gift box foil-stamped with your logo in white and tied with white satin ribbon.",,X,,12,2,15,,Gift Box,7.375,3.875,2.25,,,,,Price includes imprint foil-stamped in white on gift box.,2.75,1,Individual mailing cartons are included at no charge.,,"Maximum size for enclosure cards: 6"" x 3.5""",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ES124_HERO.jpg,ES124_WEB.jpg,ES124_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ES125,ES1028,X,9,10,30,The MR Gourmet Collection,3,18,28.95,28.65,27.95,27.95,,,,3C,X,"The MR Gourmet Collection features our most exceptional confections in distinctive, elegant packaging.  Your logo is attractively foil-stamped on the robin's egg blue gift box, which is then tied with a white satin ribbon.  If you are looking for gourmet chocolate with the most elegant presentations, you need not look further.","Your customers and employees will be thrilled with this delicious gift! We begin with the highest quality California almonds. We carefully roast them to enhance their natural flavor and surround them with an extra-thick coating of rich, luxurious fine milk and dark chocolate. The result: they’re the best you’ve ever tasted! Over 75 Chocolate Covered Almonds are packaged in this ten-ounce robin’s egg blue gift box foil-stamped with your logo in white and tied with a white satin ribbon.",,X,,12,2,16,,Gift Box,7.375,3.875,2.25,,,,,Price includes imprint foil-stamped in white on gift box.,2.75,1,Individual mailing cartons are included at no charge.,,"Maximum size for enclosure cards: 6"" x 3.5""",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ES125_HERO.jpg,ES125_WEB.jpg,ES125_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ES160,ES1028,X,9,10,21,The MR Gourmet Collection,4,18,33.95,33.65,32.95,32.95,,,,3C,X,"The MR Gourmet Collection features our most exceptional confections in distinctive, elegant packaging.  Your logo is attractively foil-stamped on the robin's egg blue gift box, which is then tied with a white satin ribbon.  If you are looking for gourmet chocolate with the most elegant presentations, you need not look further.","The perfect gift for the chocolate lovers on your list. Rich, mouth-watering Pecan Turtles made with creamy caramel, full-flavored Southern pecans, and premium chocolate come packed with our signature English Butter Toffee. Our toffee is made the old-fashioned way with plenty of dairy-fresh Wisconsin butter for a flavor that’s almost impossible to find anymore. The robin’s egg blue keepsake box, foil-stamped with your logo in white, contains eleven-ounces.",,,,12,3,16,,Gift Box,7.375,3.875,2.25,,,,,Price includes imprint foil-stamped in white on gift box.,2.75,1,Individual mailing cartons are included at no charge.,,"Maximum size for enclosure cards: 6"" x 3.5""",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ES160_HERO.jpg,ES160_WEB.jpg,ES160_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ES941,,X,9,11,,Ultimate Chocolate Assortment,6,12,59.95,59.65,58.95,,,,,3C,X,"This gift is perfect for your favorite chocolate lovers. We fill this elegant robin’s egg blue gift box with a mouth-watering collection of the finest gourmet chocolates: 12 pieces of English Butter Toffee, 12 Pecan Turtles, five-ounces of Dark Chocolate Covered Almonds, and 8 Peanut Butter Meltaways, some of the creamiest, yummiest chocolates we’ve ever tasted. We foil-stamp your logo in white on the gift box and tie it together with a white satin ribbon and bow.","This gift is perfect for your favorite chocolate lovers. We fill this elegant robin’s egg blue gift box with a mouth-watering collection of the finest gourmet chocolates: 12 pieces of English Butter Toffee, 12 Pecan Turtles, five-ounces of Dark Chocolate Covered Almonds, and 8 Peanut Butter Meltaways, some of the creamiest, yummiest chocolates we’ve ever tasted. We foil-stamp your logo in white on the gift box and tie it together with a white satin ribbon and bow.",,,,12,3,25,,Gift Box,7.375,7.375,2.25,,,,,Price includes imprint foil-stamped in white on gift box.,2.75,1,Individual mailing cartons are included at no charge.,,"Maximum size for enclosure cards: 6"" x 7""",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ES941_HERO.jpg,ES941_WEB.jpg,ES941_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ES942,,X,9,11,,Touch of Class,5,12,49.95,49.65,48.95,,,,,3C,X,This classic robin’s egg blue gift box holds four Maple Ridge Farms favorites. The white satin ribbon adds a sophisticated touch of elegance. Your logo is white foil-stamped on the lid. Inside you’ll find an exceptional assortment... freshly roasted Extra Fancy Jumbo Cashews; Milk Chocolate Covered Almonds; Peppermint Bark; and our signature Chocolate Sea Salt Caramels. Nearly one and one-quarter pounds of delicious goodness!,This classic robin’s egg blue gift box holds four Maple Ridge Farms favorites. The white satin ribbon adds a sophisticated touch of elegance. Your logo is white foil-stamped on the lid. Inside you’ll find an exceptional assortment... freshly roasted Extra Fancy Jumbo Cashews; Milk Chocolate Covered Almonds; Peppermint Bark; and our signature Chocolate Sea Salt Caramels. Nearly one and one-quarter pounds of delicious goodness!,,,,12,3,25,,Gift Box,7.375,7.375,2.25,,,,,Price includes imprint foil-stamped in white on gift box.,2.75,1,Individual mailing cartons are included at no charge.,,"Maximum size for enclosure cards: 6"" x 7""",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ES942_HERO.jpg,ES942_WEB.jpg,ES942_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ES9503,,X,10,,,Ultimate Chocolate Delight,7,6,89.95,88.95,87.95,,,,,3C,X,"Here’s a great gift for an entire office or large family because there’s so much to sample and share! This elegant gift contains a supreme assortment of our favorite gourmet confections, including Chocolate Peanut Butter Meltaways, our signature English Butter Toffee, Chocolate Covered Almonds and more. Your logo is foil-stamped in white on the top box. This one is guaranteed to bring a smile to the face of every lucky recipient! Serves 20-25.","Here’s a great gift for an entire office or large family because there’s so much to sample and share! This elegant gift contains a supreme assortment of our favorite gourmet confections, including Chocolate Peanut Butter Meltaways, our signature English Butter Toffee, Chocolate Covered Almonds and more. Your logo is foil-stamped in white on the top box. This one is guaranteed to bring a smile to the face of every lucky recipient! Serves 20-25.","8 Peanut Butter Meltaways, 1/4 lb.
12 Pieces of English Butter Toffee, 5 oz.
12 Pecan Turtles, 6 oz.
8 Chocolate Sea Salt Caramels, 4.75 oz.
Peppermint Bark, 5 oz.
Extra Fancy Jumbo Cashews, 5 oz.
Milk Chocolate Covered Almonds, 5 oz.
Dark Chocolate Covered Almonds, 5 oz.",,,8,5,30,,Tower,7.375,7.375,4.5,,,,,Price includes imprint foil-stamped in white on top box.,2.75,1,Individual mailing cartons are included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ES9503_HERO.jpg,ES9503_WEB.jpg,ES9503_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ESCT102,CCT102,X,9,9,63,Extra Fancy Jumbo Cashews in Classic Treats Gift Box,2,24,12.99,12.99,12.95,12.95,12.89,,,3C,X,"These jumbo, great tasting, freshly roasted, extra fancy cashews are some of the very finest in the world.  We roast them carefully to make sure they are extra crunchy, then lightly salt them to bring out that real, honest-to-goodness flavor.  Cashews are a great source of magnesium, selenium, zinc and iron. Your choice of copper or silver gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow.  Eggshell blue gift boxes are foil-stamped in white and tied with a white satin ribbon and bow.  Each box contains five-ounces.","These jumbo, great tasting, freshly roasted, extra fancy cashews are some of the very finest in the world.  We roast them carefully to make sure they are extra crunchy, then lightly salt them to bring out that real, honest-to-goodness flavor.  Cashews are a great source of magnesium, selenium, zinc and iron. The eggshell blue gift box is foil-stamped in white and tied with a matching satin ribbon and bow.  Each box contains five-ounces.",,X,,48,1,39,X,Gift Box,3.625,3.625,3.75,,,,,Price includes imprint foil-stamped in white on gift box.,2,1.5,Individual mailing carton is available at additional charge.,IMC-CT,"Maximum size for enclosure cards: 4.25"" x 3.25"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ESCT102_HERO.jpg,ESCT102_WEB.jpg,ESCT102_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ESCT118,SCT118,X,9,9,63,Chocolate Peanut Butter Meltaways in Classic Treats Gift Box,2,24,15.99,15.99,15.95,15.95,15.89,,,3C,X,"These Peanut Butter Meltaways are a wonderful blend of complex flavors—the soft, creamy peanut butter center is enrobed in rich, dark chocolate; then dusted with a delicate sprinkling of sea salt to create a smooth and incredible flavor sensation.  We are sure you will enjoy this delicious treat.  Your choice of copper or silver gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow.  Eggshell blue gift boxes are foil-stamped in white and tied with a white satin ribbon and bow.  Each box contains 8 meltaways.","These Peanut Butter Meltaways are a wonderful blend of complex flavors—the soft, creamy peanut butter center is enrobed in rich, dark chocolate; then dusted with a delicate sprinkling of sea salt to create a smooth and incredible flavor sensation.  We are sure you will enjoy this delicious treat.  The eggshell blue gift box is foil-stamped in white and tied with a matching satin ribbon and bow.  Each box contains 8 meltaways.",,X,,48,1,39,X,Gift Box,3.625,3.625,3.75,,,,,Price includes imprint foil-stamped in white on gift box.,2,1.5,Individual mailing carton is available at additional charge.,IMC-CT,"Maximum size for enclosure cards: 4.25"" x 3.25"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ESCT118_HERO.jpg,ESCT118_WEB.jpg,ESCT118_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
ESCT119,SCT119,X,9,9,63,Chocolate Sea Salt Caramels in Classic Treats Gift Box,2,24,13.99,13.99,13.95,13.95,13.89,,,3C,X,"These Sea Salt Caramels are a harmonious blend of complex flavors—soft, buttery caramel, made with dairy fresh cream, is enrobed in rich, dark chocolate; then dusted with a delicate sprinkling of sea salt to create a bold flavor sensation.  We are sure you will enjoy this exquisite treat.  Your choice of copper or silver gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow.  Eggshell blue gift boxes are foil-stamped in white and tied with a white satin ribbon and bow.  Each box contains 8 caramels.","These Sea Salt Caramels are a harmonious blend of complex flavors—soft, buttery caramel, made with dairy fresh cream, is enrobed in rich, dark chocolate; then dusted with a delicate sprinkling of sea salt to create a bold flavor sensation.  We are sure you will enjoy this exquisite treat.  The eggshell blue gift box is foil-stamped in white and tied with a matching satin ribbon and bow.  Each box contains 8 caramels.",,X,,48,1,39,X,Gift Box,3.625,3.625,3.75,,,,,Price includes imprint foil-stamped in white on gift box.,2,1.5,Individual mailing carton is available at additional charge.,IMC-CT,"Maximum size for enclosure cards: 4.25"" x 3.25"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,ESCT119_HERO.jpg,ESCT119_WEB.jpg,ESCT119_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
