MRF Item #	Category	Subcategory	New	Item Name	Min Qty	Min -47	48-95	96-239	240-479	480-959	300-599	600-2399	Mfg Code	Setup Charge	Reorder Setup Charge	Setup Charge Code	Catalog Copy	Ingredient Box (List of Ingredients)	Kosher	Units/Case	Ship Weight Each	Weight per Case	"Dimensional
Weight
Applies"	Drop Ship Available	Description	"Product Dimensions
L"	"Product Dimensions
W"	"Product Dimensions
H"	Imprint Details	"Imprint Dimensions
L"	"Imprint Dimensions
W"	Gift Cards Available	Packaging	Extra Bullets	Production Time	Image Filename
CCT102CA	9	9		Extra Fancy Jumbo Cashews in Copper Classic Treats Gift Box	24	16.35	16.35	16.30	16.30	16.25			3C	50.00	20.00	C	"These jumbo, great tasting, freshly roasted, extra fancy cashews are some of the very finest in the world. We roast them carefully to make sure they are extra crunchy, then lightly salt them to bring out that real, honest-to-goodness flavor. Cashews are a great source of magnesium, selenium, zinc and iron. The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains five-ounces."	"Extra Fancy Jumbo Cashews, 5 oz."		48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT102_NoBkgd.jpg
CCT119CA	9	9		Chocolate Sea Salt Caramels in Copper Classic Treats Gift Box	24	17.45	17.45	17.40	17.40	17.35			3C	50.00	20.00	C	"These Sea Salt Caramels are a harmonious blend of complex flavors—soft, buttery caramel, made with dairy fresh cream, is enrobed in rich, dark chocolate; then dusted with a delicate sprinkling of sea salt to create a bold flavor sensation. We are sure you will enjoy this exquisite treat. The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains 8 caramels."	"Chocolate Sea Salt Caramels, 4.75 oz. (8 pieces)"		48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT119_NoBkgd.jpg
CCT121CA	9	9		English Butter Toffee in Copper Classic Treats Gift Box	24	17.45	17.45	17.40	17.40	17.35			3C	50.00	20.00	C	"Our English Butter Toffee is crafted in small batches from a perfect blend of freshly toasted California almonds, sweet creamery butter and pure cane sugar. It is covered with a generous layer of rich milk chocolate and sprinkled with crushed almonds creating a buttery, crunchy, wonderful taste sensation. The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains 12 pieces of toffee."	"English Butter Toffee, 5 oz. (12 pieces)"		48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT121_NoBkgd.jpg
CCT123CA	9	9		Pecan Turtles in Copper Classic Treats Gift Box	24	17.45	17.45	17.40	17.40	17.35			3C	50.00	20.00	C	"These classic Pecan Turtles are simply the best! We slow cook our caramel in a large copper kettle until it is golden and delicious, drop it onto a bed of roasted, lightly salted, hand-picked pecans and then enrobe this combination in our special blend of milk chocolate! The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains 12 turtles."	"Pecan Turtles, 6 oz. (12 pieces)"	X	48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT123_NoBkgd.jpg
CCT124CA	9	9		Chocolate Covered Almonds in Copper Classic Treats Gift Box	24	16.35	16.35	16.30	16.30	16.25			3C	50.00	20.00	C	"These Milk Chocolate Covered Almonds are made with real cocoa. By combining the rich flavor of premium chocolate with toasted California almonds that are high in fiber and loaded with vitamin E, we’ve created a delicious healthy snack that you can enjoy without feeling guilty. The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains five-ounces."	"Milk Chocolate Almonds, 5 oz."	X	48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT124_NoBkgd.jpg
CCT129CA	9	9		Peppermint Bark in Copper Classic Treats Gift Box	24	18.55	18.55	18.50	18.50	18.45			3C	50.00	20.00	C	"Our Peppermint Bark adds a delightful twist to the classic candy cane. We begin with a delicious, creamy confection on top of a layer of dark chocolate, then add a touch of genuine peppermint oil and a generous sprinkling of real candy cane bits. Just break into pieces to share and enjoy! The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains five-ounces."	"Peppermint Bark, 5 oz."		48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT129_NoBkgd.jpg
CCT141CA	9	9		Jumbo California Pistachios in Copper Classic Treats Gift Box	24	15.25	15.25	15.25	15.25	15.15			3C	50.00	20.00	C	"If you love extraordinary pistachios, you’ll not only appreciate these, you won’t be able to stop eating them. These are the exceptionally flavorful “new crop” pistachios, straight from California, packed fresh and crunchy for your enjoyment. Pistachios contain iron, protein and high levels of magnesium, which helps lower blood pressure. The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains four-ounces."	"Jumbo California Pistachios, 1/4 lb."		48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT141_NoBkgd.jpg
CCT143CA	9	9		Cocoa Dusted Truffles in Copper Classic Treats Gift Box	24	16.35	16.35	16.30	16.30	16.25			3C	50.00	20.00	C	"Crafted in the centuries-old tradition of Europe's finest chocolatiers, our rich, creamy truffles offer the ultimate in chocolate enjoyment. Each decadent center is carefully blended for supreme smoothness, then gently dusted with premium cocoa to create a soft, sophisticated finish. The copper gift box is foil-stamped in your choice of black, white, blue, or red and tied with a matching satin ribbon and bow. Each box contains 11 truffles."	"Cocoa Dusted Truffles, 3.5 oz. (11 pieces)"		48	1	48	X	X	Gift Box	3.625	3.625	3.75	Price includes imprint foil-stamped in one of four colors on gift box.	2	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 4.25"" x 3.25""."	5 working days.	CCT143_NoBkgd.jpg
CL1001CA	4			Milk Chocolate Dipped Pretzel	300						2.30	2.20	2C	50.00	20.00	C	"Crunchy, jumbo pretzels are hand-dipped in rich, premium milk chocolate, then drizzled with contrasting stripes to create a delicious sweet and salty sensation."	"Milk Chocolate Dipped Pretzel, .8 oz."	X	300					Pretzel Packet	4.75	3.5		Price includes 4-color process imprint on 2-inch round label.				Packaged 300 units per case.	"Imprint area: 1.75""D; full bleed: 2.25""D; live area: 2""D.
PMS Match: Because artwork is reproduced in 4-color process, an exact match to PMS color is not always possible and cannot be guaranteed.
Shelf life: 3 months in a cool dry place."	5 working days.	CL1001_NoBkgd.jpg
CL1003CA	4			White Chocolate Dipped Pretzel	300						2.30	2.20	2C	50.00	20.00	C	"Crunchy, jumbo pretzels are hand-dipped in rich, premium white chocolate, then drizzled with contrasting stripes to create a delicious sweet and salty sensation."	"White Chocolate Dipped Pretzel, .8 oz."	X	300					Pretzel Packet	4.75	3.5		Price includes 4-color process imprint on 2-inch round label.				Packaged 300 units per case.	"Imprint area: 1.75""D; full bleed: 2.25""D; live area: 2""D.
PMS Match: Because artwork is reproduced in 4-color process, an exact match to PMS color is not always possible and cannot be guaranteed.
Shelf life: 3 months in a cool dry place."	5 working days.	CL1003_NoBkgd.jpg
