STYLE,BRAND,DESCRIPTION,GROUP,SIZE,NET
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,WHITE,S-XL, $	7.70
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,WHITE,2XL, $	9.85
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,COLORS,S-XL, $	7.98
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,COLORS,2XL, $	10.13
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,WHITE,S-XL, $	6.82
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,WHITE,2XL, $	8.97
1513,GEMLINE, Prelude Convention Tote,ALL,ONE SIZE, $	2.98
1540,GEMLINE, Encore Convention Tote,ALL,ONE SIZE, $	2.98
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,S-XL, $	21.73
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,2XL, $	21.73
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,3XL, $	23.89
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,XS-XL, $	6.74
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,2XL, $	8.24
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,3XL, $	10.11
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,XS-XL, $	5.73
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,2XL, $	7.24
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,3XL, $	9.12
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,COLORS,S-XL, $	8.73
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,COLORS,2XL, $	10.23
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,NEUTRALS,S-XL, $	7.74
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,NEUTRALS,2XL, $	9.23
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,COLORS,XS-XL, $	6.74
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,COLORS,2XL, $	8.24
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,XS-XL, $	5.73
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,2XL, $	7.24
2105,American Apparel,Toddler Fine Jersey Short-Sleeve T-Shirt,COLORS,2T-5T/6T, $	6.18
2105,American Apparel,Toddler Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,2T-5T/6T, $	5.18
2201,American Apparel,Youth Fine Jersey Short-Sleeve T-Shirt,COLORS,YOUTH S-L, $	6.24
2201,American Apparel,Youth Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,YOUTH S-L, $	5.31
2206,CODE V,Youth Camouflage T-Shirt,ALL,YOUTH XS-L, $	8.86
2406,American Apparel,Unisex Fine Jersey Pocket Short-Sleeve T-Shirt,COLORS,S-XL, $	7.74
2406,American Apparel,Unisex Fine Jersey Pocket Short-Sleeve T-Shirt,NEUTRALS,S-XL, $	6.81
2408,American Apparel,Unisex Fine Jersey Tank,COLORS,XS-XL, $	6.43
2408,American Apparel,Unisex Fine Jersey Tank,COLORS,2XL, $	7.93
2408,American Apparel,Unisex Fine Jersey Tank,NEUTRALS,XS-XL, $	5.44
2408,American Apparel,Unisex Fine Jersey Tank,NEUTRALS,2XL, $	6.93
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,COLORS,XXS-XL, $	7.56
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,COLORS,2XL, $	9.05
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,NEUTRALS,XXS-XL, $	6.55
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,NEUTRALS,2XL, $	8.06
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,COLORS,XS-XL, $	9.44
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,COLORS,2XL, $	12.23
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,MARBLES,XS-XL, $	11.63
