ItemNo,Item Status,ItemName,Material,Description,Decorating,ColorHeading,ColorList,Category,SubCategory,MasterCartonCasePack,MasterCartonDimension-Depth,MasterCartonDimension-Height,MasterCartonDimension-Weight,MasterCartonDimension-Width,CatalogSize,MemorySize,ImprintTextAll,PackagingDetails,Disclaimers,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceCanCol1,PriceCanCol2,PriceCanCol3,PriceCanCol4,PriceCanCol5,PriceHeadingType,PriceHeadingCDN,Icon_Brand_Name,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Photo_Feature,Photo_1,Photo_2,Photo_3,Photo_4,Photo_5,Photo_6,Photo_7,Photo_8,Photo_9,Photo_10,Photo_11,Photo_12,Photo_13,Photo_14,Photo_15,Photo_16,Photo_17,Photo_18,Photo_19,Photo_20,Photo_21,Photo_22,Photo_23,Photo_24,Photo_25,Photo_26,Photo_27,Photo_28,Photo_29,Photo_30,Photo_Alt1,Photo_Alt2,Photo_Alt3,Photo_Alt4,Photo_Alt5,Photo_Alt6,Photo_Alt7,Photo_Alt8,Photo_Alt9,Photo_Alt10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,MasterPageName,ItemNew,NewCatText,CategoryImageName,SampleTagColors,RecPenCatText,RecPenPriceCol1,RecPenPriceCol2,RecPenPriceCol3,RecPenPriceCol4,RecPenPriceCol5,RecPenPriceCDNCol1,RecPenPriceCDNCol2,RecPenPriceCDNCol3,RecPenPriceCDNCol4,RecPenPriceCDNCol5,CatalogDescPackaging,RecPenFilename,Callout1,Callout2,Callout3,ArtistInstructions,BrandImageName,GroupSubName,GroupName,GroupSort,CategoryShopping,SubCategoryShopping
1622-15,INLINE,Fresca BPA Free Sport Bottle18oz,ABS Plastic,Large opening to accommodate ice cubes. Features leakproof cap with loop attached to bottle. BPA free plastic. 18oz.,,Colors:,Blue or Gray,Drinkware,Plastic Sport Bottles (Drinkware),48,19,15.79,11.53,13,"7"" H x 3"" D x 18 oz.",,Color Imprint,Individual polybag,,144,250,400,600,1000,6.53,6.27,6,5.77,5.18,5C,CDN$,Leeds.eps,Photographixx.eps,,,,,,,,,,1622-15BL_D.eps,1622-15GY_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue.eps,Gray.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Drinkware 3,,,Drinkware_R.eps,Colors: Blue or Gray,,,,,,,,,,,,Large opening to accommodate ice cubes. Features leakproof cap with loop attached to bottle. BPA free plastic. 18oz. Individual polybag,,,,,,Leeds.eps,Fresca BPA Free Sport Bottle18oz,Fresca BPA Free Sport Bottle18oz,20,"Drinkware, Home & Travel",Drinkware
1622-21,INLINE,Cool Gear® Penguin BPA Free Sport Bottle 22oz,PETG,Flip-top lid with straw. Exclusive Leed’s design. Rubber grips on front and back of bottle. BPA free. 22oz.,,Colors:,Blue or Gray,Drinkware,Plastic Sport Bottles (Drinkware),25,17.5,17.5,10.69,11.25,"10"" H x 2.5"" D x 22 oz.",,Color Imprint,Individual polybag,,60,150,300,450,600,13.63,13.08,12.55,12.02,10.82,5C,CDN$,Cool Gear.eps,,,,,,,,,,,1622-21GY_A-1.eps,1622-21BL_D-1.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622-21GY_D.eps,,,,,,,,,,Blue.eps,Gray.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Drinkware 3,,,Drinkware_L.eps,Colors: Blue or Gray,,,,,,,,,,,,Flip-top lid with straw. Exclusive Leed’s design. Rubber grips on front and back of bottle. BPA free. 22oz. Individual polybag,,,,,,CoolGear.eps,Cool Gear® Penguin BPA Free Sport Bottle 22oz,Cool Gear® Penguin BPA Free Sport Bottle 22oz,20,"Drinkware, Home & Travel",Drinkware
1622-22,INLINE,Double-Wall Ceramic Tumbler with Wrap11oz,Double Wall Ceramic,"Silicone lid. Double-wall ceramic tumbler. Vinyl sleeve matches lid. Fits most corporate coffee machines. 5.5"" with lid off. Remove vinyl wrap and silicone lid before placing in the microwave. 11oz.",,Colors:,"Black, Black/Black, Blue, Blue/Black, Brown, Brown/Black, Gray, Gray/Black, Red or Red/Black",Drinkware,Ceramics (Drinkware),,,,,,"6"" H x 2.25"" D x 11 oz.",,"Color Imprint, Laser, Stamping",,,48,150,300,450,600,9.85,9.45,9.05,8.67,7.8,5C,CDN$,,,,,,,,,,,,1622-22BR_D.eps,1622-22RD_D.eps,1622-22BKBK_D.eps,1622-22BLBK_D.eps,1622-22BRBK_D.eps,1622-22GYBK_D.eps,1622-22GY_D-1.eps,1622-22RDBK_D.eps,1622-22BK_D.eps,1622-22BL_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,Black Black.eps,Blue.eps,Blue Black.eps,Brown.eps,Brown Black.eps,Gray.eps,Gray Black.eps,Red.eps,Red Black.eps,,,,,,,,,,,,,,,,,,,,,L-Drinkware ,,,Drinkware_L.eps,10 colors available,,,,,,,,,,,,"Silicone lid. Double-wall ceramic tumbler. Vinyl sleeve matches lid. Fits most corporate coffee machines. 5.5"" with lid off. Remove vinyl wrap and silicone lid before placing in the microwave. 11oz.",,,,,,,Double-Wall Ceramic Tumbler with Wrap11oz,Double-Wall Ceramic Tumbler with Wrap11oz,20,"Drinkware, Home & Travel",Drinkware
1622-24,INLINE,Curved Stainless Tumbler 16oz,Stainless Steel with Stainless Steel liner,Push-on lid with twist and lock opening. Double-wall stainless steel construction with plastic outer band. 16oz.,,Colors:,Black or White,Drinkware,Mugs & Tumblers (Drinkware),25,18.7,9.65,17.6,18.7,"8.5"" H x 2.5"" D x 16 oz.",,Color Imprint,1-piece black gift box,,48,150,300,450,600,18.27,17.53,16.82,16.1,14.5,5C,CDN$,,,,,,,,,,,,1622-24WH_D.eps,1622-24BK_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,White.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Drinkware 3,,,Drinkware_R.eps,Colors: Black or White,,,,,,,,,,,,Push-on lid with twist and lock opening. Double-wall stainless steel construction with plastic outer band. 16oz. 1-piece black gift box,,,,,,,Curved Stainless Tumbler 16oz,Curved Stainless Tumbler 16oz,20,"Drinkware, Home & Travel",Drinkware
1622-25,INLINE,Zippo® Travel Mug 16oz,Stainless Steel with Stainless Steel liner,"Screw-on, co-molded rubber lid with thumb-slide opening. Double-wall stainless steel construction.  Large, durable handle. Zippo® branding on handle and center band. Exclusive Leed's design. 16oz.",,Color:,Silver,Drinkware,Mugs & Tumblers (Drinkware),24,18.5,15.75,22.7,15.75,"8"" H x 2.75"" D x 16 oz.",,Color Imprint,1-piece premium gift box,,36,100,150,250,400,23.77,22.83,21.88,20.95,18.87,5C,CDN$,Zippo.eps,Exclusive Design.eps,,,,,,,,,,1622-25SL_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Drinkware 4,,,Drinkware_R.eps,Color: Silver,,,,,,,,,,,,"Screw-on, co-molded rubber lid with thumb-slide opening. Double-wall stainless steel construction.  Large, durable handle. Zippo® branding on handle and center band. Exclusive Leed's design. 16oz. 1-piece premium gift box",,,,,,Zippo.eps,Zippo® Travel Mug 16oz,Zippo® Travel Mug 16oz,20,"Drinkware, Home & Travel",Drinkware
1622-27,INLINE,Cornado Tumbler 16oz,SAN Plastic with Stainless Steel Liner,"Push-on, thumb-slide lid. Stainless steel band on exterior. Double-wall construction with stainless steel liner and high-gloss plastic outer. 16oz.",,Colors:,Blue or Silver,Drinkware,Mugs & Tumblers (Drinkware),25,17.72,9.06,22,17.72,"7.75"" H x 3"" D x 16 oz.",,Color Imprint,Individual polybag,,48,150,300,450,600,15.53,14.92,14.3,13.68,12.32,5C,CDN$,,,,,,,,,,,,1622-27BL_D.eps,1622-27RD_D.eps,1622-27SL_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue.eps,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Drinkware 3,,,Drinkware_L.eps,Colors: Blue or Silver,,,,,,,,,,,,"Push-on, thumb-slide lid. Stainless steel band on exterior. Double-wall construction with stainless steel liner and high-gloss plastic outer. 16oz. Individual polybag",,,,,,,Cornado Tumbler 16oz,Cornado Tumbler 16oz,20,"Drinkware, Home & Travel",Drinkware
1622-34,INLINE,Canteen Stainless Bottle 18oz,Stainless Steel,Screw-on dual purpose lid with small and large openings for easy cleaning and ice.  Silver carabiner and stainless lid cap.  Stainless steel construction.  BPA free. 18oz.,"Color Imprint, centered on front (max 4"" H x 3.25"" W, 4"" H x 7.5"" W wrap) ",Color:,Silver,Drinkware,Stainless Sport Bottles (Drinkware),50,14.96,18.7,20.9,14.96,"8.75"" H x 2.75"" D x 18 oz.",,"Color Imprint, 4-Color Process",Individual polybag,,48,150,300,450,600,12.7,12.22,11.7,11.2,10.08,5C,CDN$,,Photographixx.eps,,,,,,,,,,1622-34SL_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Drinkware 3,,,Drinkware_R.eps,Color: Silver,,,,,,,,,,,,Screw-on dual purpose lid with small and large openings for easy cleaning and ice.  Silver carabiner and stainless lid cap.  Stainless steel construction.  BPA free. 18oz. Individual polybag,,,,,Show lid open both ways like APRIL catalog. ,,Canteen Stainless Bottle 18oz,Canteen Stainless Bottle 18oz,20,"Drinkware, Home & Travel",Drinkware
1622-36,INLINE,Nitro Aluminum Bottle 18oz,Aluminum,"Plastic, flip-top lid. Large opening for cleaning and filling. Food-grade liner. BPA free. 18oz.",,Color:,Black,Drinkware,Aluminum Sport Bottles (Drinkware),60,19.49,18.7,17.6,15.35,"8.75"" H x 2.8"" D x 18 oz.",,Color Imprint,Individual polybag,,96,150,300,450,600,9.08,8.72,8.35,8,7.2,5C,CDN$,,,,,,,,,,,,1622-36BL_D-3.eps,1622-36BK_D-2.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-Drinkware 3,,,Drinkware_R.eps,Color: Black,,,,,,,,,,,,"Plastic, flip-top lid. Large opening for cleaning and filling. Food-grade liner. BPA free. 18oz. Individual polybag",,,,,,,Nitro Aluminum Bottle 18oz,Nitro Aluminum Bottle 18oz,20,"Drinkware, Home & Travel",Drinkware
1622-37,INLINE,Colorband Stainless Bottle 26oz,Stainless Steel,"Screw-on, matching rubber grip lid. Large opening for cleaning and filling. Stainless steel construction. BPA free. 26oz.",,Colors:,Blue or Silver,Drinkware,Stainless Sport Bottles (Drinkware),50,14.96,22.05,20.37,14.96,"10.5"" H x 2.75"" D x 26 oz.",,"Color Imprint, 4-Color Process",Individual polybag,,48,150,300,450,600,10,9.6,9.2,8.8,7.93,5C,CDN$,,Photographixx.eps,,,,,,,,,,1622-37BL_D-2.eps,1622-37SL_D.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue.eps,Silver.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Drinkware 3,,,Drinkware_L.eps,Colors: Blue or Silver,,,,,,,,,,,,"Screw-on, matching rubber grip lid. Large opening for cleaning and filling. Stainless steel construction. BPA free. 26oz. Individual polybag",,,,,,,Colorband Stainless Bottle 26oz,Colorband Stainless Bottle 26oz,20,"Drinkware, Home & Travel",Drinkware
1622-40,INLINE,Eco-Friendly BPA Free Sport Bottle 22oz,PETG,Eco-friendly plastic bottle allows you to be environmentally conscious and stylish.  Flip-top lid with ergonomic bottle shape. BPA free. 22oz.,,Colors:,Blue or Gray,Drinkware,Plastic Sport Bottles (Drinkware),25,10.24,15.94,8.8,15.94,"9.5"" H x 2.5"" D x 22 oz.",,Color Imprint,Individual polybag,,48,150,300,450,600,10,9.6,9.2,8.8,7.93,5C,CDN$,,,,,,,,,,,,1622-40BL_D.eps,1622-40GY_D-3.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue.eps,Gray.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Drinkware 3,,,Drinkware_L.eps,Colors: Blue or Gray,,,,,,,,,,,,Eco-friendly plastic bottle allows you to be environmentally conscious and stylish.  Flip-top lid with ergonomic bottle shape. BPA free. 22oz. Individual polybag,,,,,,,Eco-Friendly BPA Free Sport Bottle 22oz,Eco-Friendly BPA Free Sport Bottle 22oz,20,"Drinkware, Home & Travel",Drinkware
